Property_type;Property_city;Property_location;Bedrooms;Bathrooms;Parking_space;Floor_size;Estate Agent;Property_price
1 Bedroom Apartment;Centurion;Valhalla;1;1;2;;RE/MAX Infoglobe - Centurion;6000
3 Bedroom Apartment;Centurion;Ascend to Midstream;3;3;2;;Plus Group Properties;38000
1 Bedroom Apartment;Centurion;Kloofsig;1;1;1;;Centridge;8000
2 Bedroom Apartment;Centurion;Lyttelton Manor;2;1;1;;RealNet Midstream Estates (Pty) Ltd;8500
2 Bedroom Apartment;Centurion;Mnandi;2;1;2;;Just Property, Midstream Estate;7300
2 Bedroom Apartment;Centurion;Midstream Estate;2;2;4;;Valumax Rentals;26000
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2;4;;Midteam Management Services;31000
3 Bedroom Apartment;Centurion;Kosmosdal;3;2;1;;Rawson Properties Centurion;11130
3 Bedroom Apartment;Centurion;Midfield Estate;3;3;3;;Real Estate Services;38000
2 Bedroom Apartment;Centurion;Clubview;2;1;2;;Real Estate Services;8750
1 Bedroom Apartment;Centurion;Laezonia;1;1;;;;20000
Apartment;Centurion;Laezonia;;;;;;19500
2 Bedroom Apartment;Centurion;Clubview;2;2;1;213 m²;RE/MAX Jowic;8500
3 Bedroom Apartment;Centurion;Midfield Estate;3;3;3;254 m²;Seeff Centurion;35000
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2.5;2;176 m²;RE/MAX Infoglobe - Centurion;30000
3 Bedroom Apartment;Centurion;Ascend to Midstream;3;3;2;60 m²;RE/MAX Infoglobe - Centurion;35000
3 Bedroom Apartment;Centurion;Highveld;3;2;2;60 m²;CSi Property Group;17000
2 Bedroom Apartment;Centurion;Amberfield;2;1;2;72 m²;RCM Letting;9200
2 Bedroom Apartment;Centurion;Kosmosdal;2;1;2;50 m²;RE/MAX Infoglobe - Centurion;7500
2 Bedroom Apartment;Centurion;Lyttelton Manor;2;1;1;264 m²;City Property;5000
1 Bedroom Apartment;Centurion;Hennopspark;1;1;1;72 m²;Plus Group Properties;6000
2 Bedroom Apartment;Centurion;Centurion Central;2;1;2;72 m²;Plus Group Properties;7250
2 Bedroom Apartment;Centurion;Kosmosdal;2;1;1;72 m²;Seeff Centurion;7000
2 Bedroom Apartment;Centurion;Kosmosdal;2;2;1;72 m²;RealNet Midstream Estates (Pty) Ltd;8450
2 Bedroom Apartment;Centurion;Raslouw;2;2;1;60 m²;Plus Group Properties;8500
1 Bedroom Apartment;Centurion;The Reeds;1;1;1;;Chas Everitt Centurion;6500
Apartment;Centurion;Midstream Estate;2;2;1;;Plus Group Properties;49000
